cat,ECO
clss,TOTAL
ent,GDPPPP
family,gdp
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
scen,SSP4BLGCAM4
srce,PMSSPBIEMISC
tablename,GDPPPP_ECO_TOTAL_NET_SSP4BLGCAM4_PMSSPBIEMISC
tpe,NET
unit,2011GKD
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,2412750000.0,2216297363.2813,2977462646.4844,3312827636.7188,3744094482.4219,3456090820.3125,3724024169.9219,3958321044.9219,3973170410.1563,3678373779.2969,3930498779.2969,3896175781.25,3872228515.625,3922794433.5938,4200100097.6563,4337367187.5,4338022460.9375,4531907226.5625,4597615234.375,4403982421.875,3957928955.0781,3813092529.2969,3773461669.9219,3872761718.75,3920099609.375,3959138427.7344,3867489746.0938,3914103515.625,3905298783.5909996,4103120403.5558,4323934886.1781,4574310787.8634,4853089224.9565,5158183250.7009,5487445498.2646,5838637637.2994,6217556487.3581,6630141174.2159,7074307196.3863,7548010775.1653,8049260620.6618,8586816755.64,9168454056.4316,9790753607.8742,10450299329.2258,11143673258.0074,11878891877.221,12663268072.8174,13492353252.9754,14361744876.7098,15267093737.5541,16215585514.7724,17215482257.2427,18264111736.6184,19358829599.1876,20497020997.3824,21687701568.1239,22938353345.2583,24244034110.1961,25599729433.8301,27000347651.9664
AFG,24725317536.0,23419568937.0,23596954434.0,17081931240.0,13182461244.0,19939833357.0,19004264496.0,17924698676.0,16895526840.0,15874454228.0,15273265455.0,14952035696.0,24589637760.0,26333128552.0,27372439188.0,30451626799.0,33226342593.0,39214475592.0,40585412064.0,47390942897.0,49177579295.0,53970404096.0,60608876320.0,65345917725.0,67475745468.0,66349426584.0,68253868728.0,70073033662.5461,76930091190.4008,80046664823.8886,83453618024.15599,87258131582.5968,91437724632.684,95954623357.1039,100772566316.4477,105856661589.0819,111164543211.18199,116654401116.1716,122292653346.8989,128045146345.1353,133877223107.4523,139821170376.1633,145955364173.8695,152313684250.0021,158929610163.425,165836085944.4024,173034064525.5761,180502313727.2424,188240198295.1607,196247482009.8899,204524470839.9281,213119036461.8966,222082449888.3986,231422388236.3448,241149194882.6024,251276271657.2916,261801203184.0737,272698084262.4476,283948523518.9405,295535447250.7029,307443257473.8818
AGO,33830601562.5,31355707031.25,36164011718.75,31365695312.5,33521875000.0,33295988281.25,43772457031.25,40734230468.75,42079972656.25,44278480468.75,36798773437.5,37047273437.5,42365441406.25,44380367187.5,52764265625.0,66810617187.5,84281656250.0,92073625000.0,110301296875.0,89814960937.5,126388789062.5,165386625000.0,173114968750.0,175260953125.0,171307718750.0,145570390625.0,144175015625.0,146037390625.0,180591982487.3417,190121874201.4025,198470118066.1766,205806725240.2479,212767355413.01102,219425653930.0634,225856369024.7293,232137964330.2542,238216770830.7224,243936937775.0085,249224429710.3791,254000989785.4704,258183701708.7778,261775345737.1403,264987101814.6367,268042809281.9568,271164171308.7766,274571647713.6082,278061233684.1466,281421285879.9564,284858616314.1193,288577540432.4381,292780019628.0531,297567895243.2177,302933616254.5427,308911754652.2803,315535373592.0754,322836974854.5104,331095153936.9847,340469681535.6643,350815617752.2068,361988392348.33704,373843290906.5583
ALB,10297041992.1875,8448994140.625,6562725097.6563,8027696289.0625,9673472656.25,10504735351.5625,11795974609.375,10894136718.75,12109042968.75,13144066406.25,13383586914.0625,14123751953.125,14676195312.5,15717617187.5,16756181640.625,18069826171.875,19499613281.25,21062894531.25,23207287109.375,24668244140.625,27057423828.125,28091714843.75,28934449218.75,28344683593.75,29794019531.25,31280369140.625,31364695312.5,33738601562.5,34317437509.9258,35156492710.7833,35985295184.728,36825319430.8873,37704796756.2082,38617480732.3813,39557090861.0878,40517294408.7834,41497602686.5922,42496324542.7478,43505277650.6659,44516286467.9974,45521189801.3186,46523161903.0159,47533865716.9281,48557894021.0281,49599855239.8593,50664390217.9218,51747916230.821,52839650896.5835,53933461591.7487,55023199104.6901,56102698918.6301,57176983651.1287,58252264021.8947,59324199658.1396,60388523733.6665,61441039951.2913,62483814706.4485,63521948649.2943,64555807017.0432,65585707414.4311,66611922601.0608
ARE,205948062500.0,208418640625.0,216961187500.0,177892609375.0,183150000000.0,198868281250.0,212650875000.0,229181000000.0,212201718750.0,234410281250.0,293381062500.0,296899500000.0,307601375000.0,330485375000.0,358510312500.0,416559781250.0,482836500000.0,519254218750.0,560122000000.0,472784468750.0,476537093750.0,554952437500.0,580192312500.0,602509125000.0,639543937500.0,581647562500.0,578228062500.0,596089562500.0,633361264233.3724,654334480195.4407,677675371025.722,703839469146.3154,731842769804.4447,761494112064.5415,792609983677.1771,825013095480.2064,858529276225.2521,892924339644.9818,927930738868.8594,963276837284.406,998688084206.8324,1034753591718.3871,1071948823928.996,1109828059206.425,1147946277802.5,1185858234410.988,1223612046189.771,1261222371725.2842,1298192788761.863,1334026803435.624,1368227768350.177,1401046912026.954,1432949664317.87,1463757080393.0981,1493285170137.321,1521343664034.556,1548043391618.709,1573667855068.6392,1598281653791.839,1621951654068.651,1644747286896.231
ARG,174260562500.0,209316968750.0,251941218750.0,289741843750.0,337225031250.0,374330937500.0,482767000000.0,500660593750.0,500768000000.0,470612125000.0,466399968750.0,436439968750.0,405416562500.0,427786687500.0,460466500000.0,499701406250.0,541804375000.0,592911375000.0,633507500000.0,592230250000.0,658943500000.0,717974437500.0,713034312500.0,723992375000.0,701992062500.0,718820312500.0,709364562500.0,736510875000.0,775800607532.0526,802035425357.1144,828731709800.1582,856078908040.6282,883947158267.1904,912251073019.9368,940905276777.5472,969824381820.8118,998943204178.0214,1028194769799.7329,1057491019299.7041,1086743885622.355,1115865264083.289,1145105021152.898,1174603960318.4658,1204110335334.061,1233372274594.435,1262137643363.938,1290388515342.845,1318217329459.332,1345537132739.478,1372260762684.91,1398300754270.878,1423534892424.011,1448066593897.0369,1472146428646.349,1496024776261.676,1519951839091.3892,1543956176887.535,1567887706632.53,1591728910507.5142,1615462714265.2559,1639072476859.989
ARM,21347191406.25,19200675781.25,11015563476.5625,9739891601.5625,8125392089.8438,8516803710.9375,8930552734.375,8469625976.5625,8574900390.625,8652245117.1875,9017800781.25,9850267578.125,11054021484.375,12457209960.9375,13678836914.0625,15699254882.8125,17868910156.25,20674759765.625,22234271484.375,20135666015.625,22002771484.375,24617986328.125,25455658203.125,25938695312.5,26708552734.375,26681625000.0,26856033203.125,29110048828.125,29675680120.5068,30637881356.2111,31607096625.9842,32588785697.9378,33592015554.6928,34621562054.2816,35682263419.1516,36779041581.1883,37905545567.3714,39047297328.1388,40197019243.3103,41347346886.2741,42490846001.96,43655011972.7652,44865419139.6914,46111698178.6321,47383505014.8529,48670563982.13901,49946499796.7152,51186760963.6876,52383815154.3653,53530006778.7468,54617542003.575,55651588909.5984,56651255698.6126,57629538870.6351,58599461401.8358,59574183330.1197,60551736383.1013,61520846979.4071,62480877843.9625,63431126780.9492,64370808541.881
AUS,457506125000.0,457298187500.0,475796625000.0,495106656250.0,516066375000.0,539097250000.0,564025562500.0,592444437500.0,616566125000.0,650830437500.0,663465437500.0,691063562500.0,714119500000.0,748771000000.0,776666437500.0,815898625000.0,839514375000.0,864287937500.0,884782750000.0,891724562500.0,950174562500.0,991756937500.0,1014458812500.0,1049748250000.0,1073613625000.0,1071281375000.0,1116080875000.0,1155150375000.0,1190690386401.461,1228943388105.282,1266764294676.088,1304723544789.47,1343554360717.802,1383272147293.948,1423885515654.781,1465397014042.665,1507513066159.6868,1550009611684.998,1592989955653.366,1636558078939.301,1680818244378.8481,1726127386974.079,1772687155616.526,1820371520059.041,1869058047413.281,1918628079571.566,1968854943572.604,2019539294420.945,2070605656383.9,2121977423804.886,2173576711551.069,2225667974301.664,2278393345386.357,2331494944871.3433,2384721245823.426,2437827034262.197,2490911718845.5967,2544221600565.9883,2597732935566.171,2651417486549.395,2705242575738.986
AUT,193505656250.0,205200125000.0,213520015625.0,218249500000.0,227394953125.0,238102906250.0,242074359375.0,252449468750.0,265817375000.0,274803093750.0,285299750000.0,281192656250.0,286887593750.0,292061500000.0,303007156250.0,320044250000.0,334317906250.0,347094562500.0,358759687500.0,352116062500.0,361469406250.0,379627031250.0,394418062500.0,396453000000.0,400412781250.0,416196968750.0,428223500000.0,441527781250.0,443277558669.4145,450424089063.7848,457559257588.1459,464910341373.6509,472531558290.2169,480391199995.0677,488459037228.7946,496706241426.8038,505054480069.0841,513443671447.5026,521873206606.2203,530342237696.1999,538849633057.8845,547472555228.0021,556289229064.7766,565299497421.2378,574502794687.2798,583898322691.8767,593448632378.2266,603063908274.8743,612664705996.204,622171529761.7169,631504854749.9204,640729302949.2744,649923604019.2906,659029314670.2601,667987956921.7483,676741000908.3387,685317195480.1182,693786896212.7864,702153966722.4615,710422394560.8262,718596311097.8495
AZE,49903250000.0,61045167968.75,42586882812.5,35195191406.25,25602984375.0,17257589843.75,16713470703.125,16723619140.625,15962334960.9375,17342900390.625,20876464843.75,23354730468.75,23616685546.875,25115773437.5,27155636718.75,39687457031.25,57297628906.25,78693695312.5,103728328125.0,98356578125.0,121629093750.0,155538156250.0,154490015625.0,156100312500.0,155079562500.0,140595390625.0,138429140625.0,145533718750.0,166797506437.0564,171444770184.9984,175649872984.7672,179377963046.2184,182878424854.3602,186307836670.2414,189823555510.1683,193584128394.7454,197753067539.6802,202166805251.3762,206492975836.6088,210398785830.5488,213552120521.8374,216067248658.2878,218366418341.4304,220579198029.6629,222834682935.5442,225262741194.0139,227663023783.9459,229807373967.825,231783235250.5908,233674894592.5699,235563257193.2922,237440516829.7615,239311417364.4254,241270046423.2219,243407244524.0567,245812149216.8986,248445296471.0976,251221337728.7939,254160997953.5548,257285633671.8959,260617033788.60898
BDI,4276405761.7188,4450114257.8125,4324957031.25,4048535644.5313,4206754394.5313,3885945312.5,3673145019.5313,3718340332.0313,3934031494.1406,4024075927.7344,3747033203.125,3778393066.4063,3902520751.9531,4057457275.3906,4326257812.5,4363125488.2813,4557171875.0,4758210449.2188,5171108398.4375,5411642578.125,5928529785.1563,6271908691.4063,6686474121.0938,7232395019.5313,7664408691.4063,7608050781.25,7932587890.625,8223047851.5625,8960775032.1624,9522351627.9288,10092105890.7114,10677679304.6089,11291199325.5306,11930426553.4268,12592926729.6985,13276107836.7831,13979541019.8519,14698357348.0131,15423324363.0943,16145378020.0844,16855605877.4963,17550269399.1398,18239995153.1175,18937425864.8949,19655126668.1479,20405631436.5734,21186434530.6889,21985576354.951,22801418747.541,23632332458.1118,24476702540.9064,25335858454.9498,26212413002.4508,27106738584.5335,28019279367.3644,28950558422.5349,29900816054.0153,30870005317.4969,31858262511.845,32865697240.9178,33892390561.1503
