cat,IPCM0EL
clss,TOTAL
ent,HFCS
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST21
tablename,HFCS_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AGO,1.2827e-07,4.8231e-07,1.1368e-06,2.463e-06,5.6949e-06,1.3725e-05,6.358e-05,0.00013516,0.0002463,0.00038195,0.00074485,0.0020107,0.004527300000000001,0.0070734,0.011903,0.022218,0.022382,0.026427999999999997,0.030474,0.033226,0.035977999999999996,0.036557,0.039478,0.042399,0.04532,0.048242,0.051163,0.054084
ALB,1.4257000000000001e-05,3.565e-05,7.9206e-05,0.00042368,0.0011982000000000002,0.0029583,0.005382,0.0052854,0.0083859,0.012676,0.017534,0.024423,0.031218,0.041532,0.055229999999999994,0.071082,0.078835,0.089665,0.1005,0.1103,0.1201,0.12299000000000002,0.13193,0.14085999999999999,0.1498,0.15874000000000002,0.16768,0.17662
AND,0.0,0.0,0.0,0.0,0.0,0.0,6.9188e-05,0.00025522,0.00052582,0.00084868,0.0011914999999999999,0.0016101,0.0021579999999999998,0.0027995,0.0034990000000000004,0.0042207,0.0050125,0.0059088000000000005,0.006854300000000001,0.0077938,0.008672,0.0094663,0.010116,0.010457,0.011309,0.011038,0.012292,0.013278
ARG,0.42333000000000004,0.37173,0.3684,0.39542,0.43132,0.41391999999999995,0.43646,0.48039,0.46224,0.44543,0.48301000000000005,0.4693,0.49728999999999995,0.54127,0.58328,0.6429600000000001,0.67118,0.69944,0.67074,0.56647,0.66727,0.71919,0.68258,0.72673,0.7356,0.76802,0.78606,0.80409
ARM,7.1093e-05,0.00029135,0.00034161,0.0012147,0.0031864000000000003,0.007577199999999999,0.013137000000000001,0.017506999999999998,0.025738,0.034851,0.047691000000000004,0.070477,0.11055,0.17321,0.25311999999999996,0.38234,0.40881,0.47526999999999997,0.54173,0.59486,0.64799,0.6559999999999999,0.70635,0.75671,0.80706,0.8574200000000001,0.9077700000000001,0.9581299999999999
ATG,4.0720999999999995e-06,1.0015e-05,2.2036e-05,9.7846e-05,0.00024505,0.00048218,0.00088289,0.0012232,0.0017331,0.002408,0.0031107,0.0036553000000000006,0.0042834,0.0050716,0.0061299,0.007201300000000001,0.0079558,0.008803,0.009650200000000001,0.010467,0.011283,0.011788,0.012562,0.013337,0.014112000000000001,0.014886000000000002,0.015661,0.016434999999999998
AUS,1.4247,1.4247,1.3332,1.8299,1.0273,1.004,0.41417,0.70523,0.99829,1.3745,1.614,2.3071,2.9259,3.5789,4.2671,5.0028,5.1667,6.0662,6.859,8.1091,8.6107,9.1487,9.0601,9.8673,10.7848,11.8017,11.9826,12.2529
AUT,0.0024376,0.0038894,0.0056365,0.23526,0.26111,0.35345,0.4172,0.49813999999999997,0.60855,0.70092,0.71363,0.8631,0.96936,1.0734,1.1602,1.1483,1.1552,1.1984,1.2497,1.3104,1.4857,1.4139,1.4924,1.5196,1.5866,1.6159,1.6322,1.7248
AZE,0.312,0.2652,0.2184,0.1716,0.1248,0.078,0.10672000000000001,0.14737999999999998,0.23754,0.35241,0.5172,0.5268,0.54,0.5784,0.6276,0.7248,0.8112,0.9252,1.0236,1.1184,1.23,1.0512,1.128,1.2384,1.3365,1.4003,1.4641,1.5279
BEL,0.13113,0.28922,0.4772,0.4772,0.48962,0.49031,0.58585,0.71065,0.87215,0.9430200000000001,1.1441,1.2268,1.4619,1.6517,1.7327,1.7899,1.9234,2.1441,2.2719,2.4319,2.5491,2.6591,2.7789,2.7788,2.8926,2.8865,2.8357,2.8054
