cat,IPC1
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scen,HISTCR
srce,PRIMAPHIST21
tablename,KYOTOGHG_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,1.6447,1.689,1.4699,1.6018,1.6206,1.676,1.6924,1.7481,1.8005,1.8121,2.3909,2.4208,2.4497,2.5746,2.6293,2.7321,2.7285,2.8369,2.6724,2.6435,2.5237,2.5166,1.3653,0.87926,0.8909799999999999,0.9101600000000001,0.93674,0.93248
AFG,2.9482,2.7762,1.6697,1.631,1.5791,1.6084,1.6039,1.5211,1.4709999999999999,1.2658,1.2429999999999999,1.2741,1.52,1.6566,1.4267,1.8399,2.1876,2.8554,4.8178,7.4255,9.1316,12.9413,11.4658,10.7165,11.6601,12.1806,13.7547,14.1795
AGO,38.4606,40.4972,42.6435,42.0626,35.7228,47.1593,52.2195,47.7188,47.4637,45.4848,39.2153,37.7332,39.6299,35.7184,45.2623,45.5493,46.3684,48.3302,49.2423,50.7808,55.0511,56.2175,59.1282,53.748999999999995,54.9163,56.2853,56.9512,57.0201
AIA,0.05227999999999999,0.05227999999999999,0.055876999999999996,0.066953,0.06715299999999999,0.067207,0.070897,0.070855,0.07821,0.08186,0.089287,0.096552,0.096634,0.10397,0.12304000000000001,0.13047,0.14519,0.15250999999999998,0.15239,0.14861,0.15232,0.14501,0.14501,0.138,0.14540999999999998,0.14851,0.15282,0.15208
ALB,3.3065,5.2195,3.4115,3.3015,3.4996,3.2578,3.272,3.4271,4.1444,4.4625,3.1310000000000002,3.5184,3.6291,3.8067,4.0618,3.9775,3.9139999999999997,4.0918,4.1544,4.4906,4.6324,5.0769,4.4799,4.6025,5.4003,4.7107,4.9305,5.0272
AND,0.40644,0.41425,0.42168999999999995,0.43178999999999995,0.43341,0.46043,0.49061000000000005,0.5018600000000001,0.52889,0.55204,0.5634,0.56448,0.57158,0.57385,0.5999,0.61498,0.58297,0.57599,0.57605,0.5515899999999999,0.55108,0.52059,0.51955,0.5093,0.49517,0.49601000000000006,0.50192,0.50395
ANT,5.5119,4.4149,3.6638,5.6037,5.3787,5.3244,4.9875,5.2225,0.39453,2.2143,5.7153,5.8277,5.6047,5.6034,5.8870000000000005,5.84,6.0761,6.8339,6.5725,6.7115,4.6125,5.9053,7.0936,6.3317,7.0154,7.1603,7.364,7.3225
ARE,52.6898,57.9152,59.2027,66.26,72.4684,72.9044,65.2162,67.6346,88.2896,87.0336,121.9452,118.0794,107.44200000000001,136.5656,149.6933,159.4816,159.6844,163.3895,176.528,180.4506,168.5847,168.8612,176.1265,168.8753,198.31,214.2021,221.0885,216.9711
ARG,106.7629,115.8157,119.9117,120.0538,125.6077,121.7701,132.2238,135.8218,140.9488,142.9966,146.5434,136.3311,129.048,136.8455,149.1691,155.4756,165.52700000000002,178.4934,182.7545,178.012,183.9823,192.5647,192.4823,195.9499,195.9461,199.5722,199.2208,197.4815
ARM,23.103,21.5108,26.3374,11.2275,11.2034,11.8903,8.3854,8.5771,7.1711,5.1569,3.6967,3.72,3.3022,3.705,3.8574,4.5574,4.6117,5.4104,6.0816,5.1533,5.1497,5.9543,6.7754,6.5446,6.6003,7.2181,7.2934,7.1723
