cat,IPCM0EL
clss,TOTAL
ent,N2O
family,emi
gwp,AR4
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP2BLMESGBFILLED
srce,PMSSPBIE
tablename,N2O_IPCM0EL_TOTAL_NET_SSP2BLMESGBFILLED_PMSSPBIE
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,0.0073335,0.0059797,0.0065516,0.0066293,0.0068499,0.0072763,0.0023661,0.0025983,0.0034135999999999997,0.0039485,0.0071178,0.007660600000000001,0.0072012000000000005,0.007196800000000001,0.0069459000000000005,0.0068139,0.006526100000000001,0.007650199999999999,0.007762399999999999,0.0079124,0.009512600000000001,0.009503200000000002,0.009537799999999999,0.0098568,0.010183,0.010509,0.010836,0.011162,0.011313666666666666,0.012567666666666666,0.013928000000000001,0.015414333333333335,0.017020666666666667,0.018751666666666666,0.020611333333333332,0.022602,0.024746000000000004,0.027062333333333338,0.029550000000000003,0.032205333333333336,0.035024,0.03804866666666667,0.04132666666666667,0.04486266666666666,0.048656,0.05270466666666666,0.05702666666666667,0.06163100000000001,0.06649533333333334,0.07159166666666666,0.07688633333333333,0.08243466666666666,0.08831766666666667,0.09453066666666665,0.10106633333333333,0.107919,0.11511533333333333,0.12267666666666666,0.13058333333333333,0.13880333333333336,0.14731
AFG,2.8774,2.9578,2.9063,2.9491,2.7852,2.9262,3.1643,3.4744,3.7633,4.0327,3.5094,3.1019,3.6137,3.8186,3.7249,3.8792,3.7186,3.647,3.9744,4.2457,4.7148,4.8007,4.8412,4.8856,5.2023,4.7449,5.1823,5.4246,5.5489999999999995,5.4599,5.4093,5.3949,5.406000000000001,5.4398,5.4942,5.567,5.6565,5.7605,5.8765,6.0022,6.1355,6.2787,6.4346,6.6016,6.7784,6.9637,7.1595,7.3677,7.5871,7.8163,8.0543,8.3037,8.5669,8.843,9.1311,9.4308,9.7442,10.0721,10.412,10.7618,11.1192
AGO,16.3245,16.3665,16.4205,16.3806,16.3396,16.3411,14.0603,13.8357,15.2565,14.1584,14.5799,15.815999999999999,17.128,19.3642,19.3412,19.4005,17.6285,19.389,18.2632,18.3747,19.323,19.9165,18.9733,19.7044,18.9981,19.9245,19.7863,19.4872,22.4187,22.1379,21.6737,21.0612,20.3748,19.6424,18.8861,18.1227,17.3568,16.587,15.8167,15.0479,14.2819,13.5179,12.7679,12.0482,11.3712,10.7461,10.166,9.6206,9.1104,8.6351,8.1936,7.7877,7.4163,7.0738,6.7552,6.4563,6.1782,5.9209,5.6796,5.4502,5.2292
AIA,0.00015443,0.00018688,0.00019158,0.00021401,0.00028523,0.00037584,0.00037069,0.00031651,0.00026655,0.00024842,0.00030387,0.00030664,0.0002091,0.00025351,0.00024202,0.00024836,0.00024205,0.00023626,0.00029219,0.00038885,0.00045129999999999997,0.00047935,0.00047988,0.00042874,0.0004436,0.00045845,0.00047331,0.00048816,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333,0.0004620233333333333
ALB,1.4671,1.1026,1.0592,1.1265,1.3624,1.3636,1.208,1.1339,1.1726,1.1355,1.2308,1.1941,1.3419999999999999,1.3548,1.3192,1.3159999999999998,1.2594,1.2353,1.1854,1.1762,1.1678,1.2048,1.2081,1.2016,1.2193,1.2607,1.2972,1.2619,1.2761,1.2771,1.2791,1.2824,1.2871,1.2925,1.2983,1.3042,1.3103,1.3167,1.3233,1.3299,1.3363,1.3426,1.349,1.3554,1.3618,1.3683,1.3748,1.3811,1.3871,1.3927,1.3978,1.4027,1.4075,1.4121,1.4163,1.4199,1.4228,1.4251,1.4268,1.4279,1.4281
AND,0.029461,0.030258999999999998,0.031361,0.032594,0.033472,0.034818,0.036469999999999995,0.035817,0.022952,0.018435,0.018544,0.017901,0.017342,0.017730000000000003,0.017067,0.016881999999999998,0.015788,0.015483000000000002,0.015606,0.015321000000000001,0.015462,0.014771000000000001,0.014599,0.013133,0.012462,0.011994,0.011559999999999999,0.011375,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999,0.012520499999999999
ANT,0.036694,0.038183999999999996,0.03973,0.03217,0.037965,0.038144,0.03764,0.063125,0.064509,0.062943,0.0639,0.064362,0.060676,0.061535,0.063763,0.065901,0.06584,0.070482,0.07105700000000001,0.061032,0.054278,0.06940199999999999,0.069065,0.066186,0.066375,0.06653400000000001,0.066664,0.066853,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668,0.06694616666666668
ARE,3.0669999999999997,3.4015,3.6195,3.8308,4.1497,4.6395,5.1331,5.3494,5.6292,6.0076,6.5596,6.5918,7.0953,7.2143,6.9601,6.8311,6.1697,5.6129999999999995,5.2117,4.6756,4.0544,3.4361,2.8583,2.2616,1.685,1.9426,1.7336,1.7658,1.0913,1.1202,1.1517,1.1851,1.217,1.2476,1.2771,1.3055,1.3326,1.3576,1.3803,1.4007,1.4183,1.4332,1.4456,1.4555,1.4629,1.4680000000000002,1.4705,1.4701,1.4669,1.4609999999999999,1.4525,1.4412,1.4272,1.411,1.3929,1.3730000000000002,1.351,1.3266,1.3005,1.2734,1.2457
ARG,41.6498,42.2885,42.3879,43.8473,41.6208,41.0371,42.6513,41.2431,41.673,41.8109,48.0973,52.5749,48.3684,51.9403,48.4434,49.206,51.075,51.4989,47.7584,48.4798,39.4174,38.3879,38.0468,41.611000000000004,42.1619,41.7178,44.7654,46.1536,40.0452,40.3323,40.6617,41.0346,41.4289,41.8416,42.2692,42.7082,43.1509,43.5881,44.0138,44.422,44.8066,45.1824,45.5595,45.9259,46.2704,46.5824,46.8597,47.1059,47.3202,47.5015,47.6485,47.7656,47.8613,47.9401,48.0059,48.0623,48.1056,48.1288,48.1296,48.1058,48.0555
ARM,0.36163,0.38225,0.42112,0.32375,0.31343000000000004,0.33547,0.36615,0.38228,0.40587,0.44371000000000005,0.4859,0.46381000000000006,0.51641,0.49428999999999995,0.5080600000000001,0.49394,0.6815100000000001,0.5889,0.54487,0.5411100000000001,0.49701999999999996,0.51953,0.59323,0.644,0.62295,0.67571,0.9446399999999999,0.75331,0.72077,0.7159800000000001,0.7114,0.7067399999999999,0.7019,0.69724,0.69301,0.6894399999999999,0.68635,0.6834,0.68052,0.67767,0.67477,0.67194,0.66928,0.66673,0.66423,0.66173,0.6591199999999999,0.65633,0.6533,0.64998,0.6463399999999999,0.64257,0.63886,0.6351100000000001,0.6312399999999999,0.6271399999999999,0.6227600000000001,0.61802,0.61275,0.60682,0.60009
