cat,DEMOGR
clss,TOTAL
ent,POP
family,pop
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017Check info_per_country.csv for further information.
scen,SSP1BLIMAGEFILLED
srce,PMSSPBIEMISC
tablename,POP_DEMOGR_TOTAL_NET_SSP1BLIMAGEFILLED_PMSSPBIEMISC
tpe,NET
unit,Pers
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABW,62149.0,64622.0,68235.0,72504.0,76700.0,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100834.0,101222.0,101358.0,101455.0,101669.0,102046.0,102560.0,103159.0,103774.0,104341.0,104872.0,105366.0,106224.43280000001,107285.1025,108327.88023333333,109365.28566666668,110384.80570000001,111385.62043333333,112366.92923333333,113327.95466666667,114260.3972,115155.0947,116009.97996666667,116822.96100000001,117591.91600000001,118330.80923333333,119056.07250000001,119769.27556666666,120472.01846666668,121165.9427,121837.80263333333,122471.07166666666,123062.52143333333,123608.93886666668,124107.12479999999,124579.833,125048.95106666668,125510.00516666665,125958.5323,126390.0714,126819.24066666665,127258.11366666667,127698.36893333333,128131.60906666667,128549.34426666668
AFG,12412308.0,13299017.0,14485546.0,15816603.0,17075727.0,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383032.0,36296113.0,36998396.3069,37813783.5361,38626823.5299,39442821.287,40264681.5407,41086412.8337,41901993.4529,42705370.4131,43499310.1979,44287806.0722,45066349.1712,45830062.728,46573700.5984,47310442.9433,48053671.2698,48798115.1409,49538430.5458,50269195.1647,50990495.1241,51702394.8777,52399318.8401,53075612.0282,53725542.2929,54351097.1548,54958079.2509,55546528.4231,56116624.238000005,56668684.3042,57205104.9896,57729880.2793,58245933.3995,58756331.4173,59264287.4114
AGO,11848386.0,12248901.0,12657366.0,13075049.0,13503747.0,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015781.0,26941779.0,27884381.0,28842489.0,29816766.0,30401529.4531,31125866.7337,31842271.5964,32552293.3276,33259441.5945,33962191.6767,34659073.1622,35348664.5688,36029944.1306,36702886.4512,37367568.477,38024031.565,38672284.8281,39315166.4131,39954514.6322,40588824.017,41216598.6987,41836351.689,42445650.2097,43042266.8357,43625041.4453,44192828.8849,44744497.2578,45284521.6303,45817426.9477,46342171.8798,46857723.7187,47363058.4337,47855854.2274,48333660.4022,48795263.7594,49239447.7287,49664992.2443
AIA,8899.0,9135.0,9332.0,9493.0,9664.0,9866.0,10117.0,10388.0,10684.0,10971.0,11252.0,11515.0,11761.0,12001.0,12233.0,12453.0,12661.0,12868.0,13063.0,13258.0,13438.0,13620.0,13795.0,13954.0,14112.0,14279.0,14429.0,14584.0,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666,14192.166666666666
ALB,3286073.0,3280395.0,3245886.0,3195199.0,3146519.0,3112936.0,3098700.0,3099752.0,3110682.0,3122697.0,3129243.0,3129704.0,3126187.0,3118023.0,3104892.0,3086810.0,3063021.0,3033998.0,3002678.0,2973048.0,2948023.0,2928592.0,2914096.0,2903790.0,2896305.0,2890513.0,2886438.0,2884169.0,2863793.0439,2866077.505,2867019.8292,2867061.8039,2866972.354,2866801.4409,2866598.2129,2866411.0415,2865402.4607,2863009.4132,2859691.9664,2855911.1681,2852129.0996,2848252.5731,2843924.3623,2839211.59,2834181.8710000003,2828903.3217,2823249.6792,2817088.9793,2810480.5809,2803483.0326,2796154.0481,2788433.4823,2780266.9683,2771719.5902,2762855.54,2753738.1275,2744184.1027,2734008.5704,2723272.3497,2712037.0912,2700365.2659
AND,54509.0,56671.0,58888.0,60971.0,62677.0,63850.0,64360.0,64327.0,64142.0,64370.0,65390.0,67341.0,70049.0,73182.0,76244.0,78867.0,80993.0,82684.0,83862.0,84463.0,84449.0,83747.0,82427.0,80774.0,79213.0,78011.0,77297.0,77001.0,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5,79120.5
ANT,188501.0,189516.0,190415.0,190973.0,190940.0,190149.0,188569.0,186357.0,183789.0,181258.0,179097.0,177322.0,175965.0,175362.0,175954.0,177967.0,181590.0,186648.0,192579.0,198660.0,204300.0,209366.0,213900.0,217882.0,221368.0,224385.0,226880.0,228842.0,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5,222209.5
ARE,1828432.0,1937153.0,2052891.0,2173139.0,2294385.0,2415090.0,2539126.0,2671362.0,2813214.0,2966034.0,3134062.0,3302719.0,3478777.0,3711932.0,4068570.0,4588225.0,5300174.0,6168838.0,7089487.0,7917372.0,8549988.0,8946777.0,9141596.0,9197910.0,9214175.0,9262900.0,9360980.0,9487203.0,10223692.7744,10438838.1018,10657675.4039,10879988.0629,11097067.9954,11309862.4528,11519328.8548,11726432.9653,11931020.1628,12132201.4877,12329841.1452,12523796.3192,12713918.4646,12901419.4069,13087075.1175,13270080.7369,13449632.4239,13624926.8684,13795907.8762,13962224.2082,14122631.6847,14275888.354,14420754.327,14559723.1405,14695265.087000001,14826106.297,14950971.5163,15068582.82,15179831.6184,15285354.6988,15383489.0824,15472572.2825,15550943.4465
ARG,32618651.0,33079000.0,33529326.0,33970111.0,34402672.0,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40895752.0,41320500.0,41755196.0,42196030.0,42637511.0,43075416.0,43508460.0,43937140.0,44162147.79,44386448.9913,44592373.1311,44786808.2667,44977064.8415,45162294.0358,45341643.6563,45514260.1251,45676884.2356,45826325.4123,45961836.5135,46082672.9559,46188090.1481,46287562.8236,46389503.4127,46491571.3911,46591426.8803,46686732.7769,46775734.978,46853432.5807,46912615.9912,46946074.5926,46946604.6514,46928852.8613,46912306.0074,46897033.0791,46883107.0831,46870605.1031,46852281.5856,46823951.9795,46790280.8833,46755932.6158,46725578.6491
ARM,3538171.0,3505258.0,3442817.0,3363108.0,3283667.0,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884234.0,2897588.0,2912409.0,2925553.0,2936143.0,2944791.0,2914984.5976,2904807.0614,2894805.3144,2883992.4042,2871322.0752,2857298.4207,2842423.0065,2827194.2498,2811719.9296,2795913.4489999996,2779978.3905,2764117.3277,2748531.7955,2733043.1087,2717314.1872,2701307.3287,2684983.6632,2668303.0996,2651104.8726,2633298.1449,2614945.4934,2596107.6273,2576843.2241,2557066.5929,2536718.3475,2515894.5694,2494690.7028,2473201.5403,2451442.6431,2429403.6734,2407141.8185,2384716.6281,2362190.0554
