entity,gwp,source
CO2,1,AR5
CH4,34,AR5
N2O,298,AR5
CFC11,5352,AR5
CFC12,11547,AR5
CFC13,15451,AR5
CFC113,6586,AR5
CFC114,9615,AR5
CFC115,8516,AR5
HALON1301,7154,AR5
HALON1211,2070,AR5
HALON2402,1734,AR5
CCL4,2019,AR5
CH3BR,3,AR5
CH3CCL3,193,AR5
HCFC22,2106,AR5
HCFC123,96,AR5
HCFC124,635,AR5
HCFC141B,938,AR5
HCFC142B,2345,AR5
HCFC225CA,155,AR5
HCFC225CB,633,AR5
HFC23,13856,AR5
HFC32,817,AR5
HFC41,141,AR5
HFC125,3691,AR5
HFC134,1337,AR5
HFC134A,1549,AR5
HFC143,397,AR5
HFC143A,5508,AR5
HFC152,20,AR5
HFC152A,167,AR5
HFC161,4,AR5
HFC227EA,3860,AR5
HFC227A,3220,NoValuesProvidedInIPCCReport
HFC236CB,1438,AR5
HFC236EA,1596,AR5
HFC236FA,8998,AR5
HFC245CA,863,AR5
HFC245FA,1032,AR5
HFC365MFC,966,AR5
HFC4310,1952,AR5
HFC404A,4550,AR5
HFC407C,1916,AR5
HFC410A,2254,AR5
SF6,26087,AR5
NF3,17885,AR5
CF4,7349,AR5
C2F6,12340,AR5
C3F8,9878,AR5
CC3F6,10208,AR5
CC4F8,10592,AR5
C4F10,10213,AR5
C5F12,9484,AR5
C6F14,8780,AR5
C7F16,8681,Assumption
C10F18,7977,AR5
OTHERPFCS,NaN,NaN
OTHERHFCS,NaN,NaN
FGASES,NaN,NaN
HFCS,NaN,NaN
PFCS,NaN,NaN
KYOTOGHG,NaN,NaN
FGASESAR4,NaN,NaN
HFCSAR4,NaN,NaN
PFCSAR4,NaN,NaN
KYOTOGHGAR4,NaN,NaN
FGASESAR5,NaN,NaN
HFCSAR5,NaN,NaN
PFCSAR5,NaN,NaN
KYOTOGHGAR5,NaN,NaN
FGASESAR5CCF,NaN,NaN
HFCSAR5CCF,NaN,NaN
PFCSAR5CCF,NaN,NaN
KYOTOGHGAR5CCF,NaN,NaN
OTHERHFCSAR4,NaN,NaN
OTHERPFCSAR4,NaN,NaN
OTHERHFCSAR5,NaN,NaN
OTHERPFCSAR5,NaN,NaN
OTHERHFCSAR5CCF,NaN,NaN
OTHERPFCSAR5CCF,NaN,NaN
